user-id-key,race_id
21,1390
21,1847
21,792
21,684
21,643
21,756
21,820
21,764
22,3179
22,4269
22,12799
22,10047
22,8776
22,12740
23,809
23,5226
23,1985
23,7041
23,3237
23,597
23,2576
23,679
23,859
23,2954
23,1202
23,1101
23,2993
23,1595
23,657
23,4271
23,2429
23,2534
23,1859
23,756
23,4082
23,4789
23,583
23,764
23,645
23,1428
23,3841
23,984
24,567
24,1375
24,786
24,1595
24,5362
25,8859
25,3977
25,5914
25,697
25,2644
25,547
25,757
25,584
25,597
25,1985
25,662
25,680
25,3227
25,809
25,646
25,3841
25,792
25,1587
25,1604
25,583
25,984
25,2740
25,566
25,2349
25,2534
25,878
25,1563
25,782
25,791
25,764
25,1521
25,546
26,1309
26,597
26,6936
26,557
26,563
26,6760
26,583
26,571
26,1927
26,895
26,659
26,7980
26,4941
26,3110
27,8869
27,583
27,597
27,706
28,3326
28,13035
28,4697
28,3559
28,4451
28,764
28,3305
29,764
29,9944
29,792
29,583
29,820
29,597
29,3237
30,7041
30,583
30,1985
30,1428
30,3241
30,764
30,1120
30,601
31,820
31,561
31,1919
31,2993
31,597
31,2495
31,2534
31,662
31,684
31,858
31,2611
31,1859
31,2160
31,2072
31,690
31,809
32,4271
32,583
32,1985
32,13475
33,1202
33,898
33,5122
33,1256
33,6846
33,6289
34,2534
34,756
34,782
34,809
34,583
34,859
34,791
34,1854
34,1859
34,597
35,3237
35,2171
35,2314
35,2846
35,583
35,571
35,820
35,3112
35,597
36,7293
36,6879
36,6815
36,6289
36,597
36,5343
36,679
36,701
36,4901
36,1120
36,4028
36,756
36,1996
36,583
37,782
37,3464
37,3559
37,3168
37,583
38,583
38,597
38,3237
38,684
38,7954
38,3227
38,564
38,7132
38,820
38,2564
38,859
39,3986
39,7220
39,7521
39,1304
39,5229
40,792
40,3227
40,5525
40,5552
40,2151
40,764
40,583
40,734
41,3227
41,858
41,7471
41,7244
41,2564
41,859
41,809
41,1919
41,985
41,2403
41,597
41,571
41,2156
41,2366
41,2497
41,679
41,1859
41,1985
41,764
41,583
41,546
42,8161
42,875
42,1428
42,859
42,5704
42,2156
42,6306
42,2564
42,764
42,782
42,583
42,878
42,1256
42,2534
42,756
42,786
43,2997
43,6695
43,859
43,6731
43,5758
43,2738
44,547
44,633
44,820
44,573
44,786
44,2742
44,878
44,2564
44,859
44,2561
44,583
44,1159
44,2078
44,2156
44,566
44,708
44,764
44,1621
45,546
45,8504
45,875
45,539
45,597
46,7408
46,8161
46,792
46,7041
46,564
46,7016
46,583
46,6815
46,6289
46,3399
46,1859
46,1985
46,3227
46,784
46,782
46,1101
46,597
46,3433
46,859
46,820
46,985
46,684
46,673
46,1390
46,2226
46,679
46,734
46,1120
46,756
46,785
46,764
47,6936
47,1428
47,4912
47,4203
47,1595
47,2902
48,618
48,815
48,597
48,583
48,2740
48,2599
48,988
48,878
48,2135
49,794
49,1604
49,916
49,12442
49,7441
49,580
49,5552
49,1919
49,823
49,9775
49,620
49,5525
49,664
49,12303
49,7954
49,8455
49,3227
49,784
49,723
49,1985
49,1595
49,1587
49,1859
49,7227
49,815
49,7317
49,3187
49,859
49,734
49,690
49,792
49,1422
49,3337
49,1927
49,820
49,2881
49,597
49,764
50,1985
50,764
50,2939
50,1120
50,583
50,1428
50,859
51,11219
51,8651
51,8475
51,583
51,6289
51,597
52,13544
52,11006
52,11615
52,630
52,2949
52,1202
52,9438
52,12312
52,6287
52,9272
52,12133
52,878
52,984
52,6812
52,2685
52,8885
52,3904
52,792
53,4193
53,4352
53,3337
53,3168
53,1859
53,756
53,3179
53,3676
53,3036
53,3459
53,1120
53,1428
53,3433
53,782
53,1996
54,1985
54,1851
54,782
54,728
54,829
54,583
55,583
55,6333
55,6387
55,5208
55,6113
55,3261
55,687
55,5226
55,1595
55,3690
55,1375
55,4221
55,870
55,2534
55,567
55,742
55,1475
55,1428
55,679
55,1120
55,784
55,764
56,7899
56,859
56,4156
56,820
56,6812
56,7473
56,6760
56,597
56,3559
56,2156
56,4221
56,1375
56,4494
56,4576
56,1309
56,3904
56,815
56,1478
56,687
56,2993
56,620
56,1204
56,3045
56,1595
56,909
56,791
56,764
56,2224
56,2263
56,878
56,1202
56,870
56,567
56,1457
56,832
56,858
56,583
57,984
57,3168
57,878
57,792
57,1996
57,601
57,985
57,782
57,583
57,2057
58,6510
58,7227
58,3738
58,878
58,815
58,2740
58,6140
58,1587
58,4180
58,3569
58,2564
58,597
58,673
58,1256
58,2802
58,2576
58,1428
58,2655
58,659
58,539
58,583
58,820
58,734
58,2030
58,1962
58,786
58,574
58,1985
58,1927
59,1587
59,820
59,580
59,3019
59,587
59,2879
59,872
59,1451
59,782
59,792
59,743
59,2860
60,2939
60,5953
60,3227
60,764
60,782
60,546
60,3841
60,564
60,3433
60,3171
60,3241
60,3168
60,583
60,1985
61,11380
61,1595
61,567
61,12466
61,10400
61,11055
61,10804
61,8722
61,10339
61,9462
61,9272
61,2652
61,6812
61,9502
